876,568,59.99,597,8522023.74,35814.03
73,255,29.99,829,663776.98,24861.71
732,95,4.49,455,3944839.72,2042.95
21,463,12.99,845,9580079.85,10976.55
495,219,99.99,522,3173763.80,52194.78
930,689,29.99,834,7482654.91,25011.66
21,462,34.99,396,1802939.08,13856.04
788,692,18.99,77,2000238.23,1462.23
119,975,12.99,718,3965435.02,9326.82
498,42,3.49,770,7243363.64,2687.30
777,611,69.99,791,5803779.61,55362.09
245,479,5.49,510,9533340.43,2799.90
807,334,3.99,232,1114815.06,925.68
69,336,2.29,626,5943947.61,1433.54
263,318,99.99,931,3750688.62,93090.69
275,462,34.99,189,422514.91,6613.11
485,368,2.99,396,4897163.23,1184.04
92,536,39.99,701,7926267.99,28032.99
492,85,5.49,365,1884580.35,2003.85
188,334,3.99,373,3658890.67,1488.27
3,267,69.99,952,2109756.34,66630.48
684,42,3.49,21,2105289.52,73.29
119,689,29.99,456,761072.79,13675.44
930,767,2.49,737,4781296.41,1835.13
187,798,4.89,538,9096059.96,2630.82
700,778,6.99,495,6148921.07,3460.05
547,293,5.49,352,1693314.83,1932.48
774,677,29.99,892,8738475.01,26751.08
206,210,34.99,192,6814658.02,6718.08
830,95,4.49,479,4299929.09,2150.71
256,255,29.99,530,9476095.97,15894.70
510,236,24.99,650,6073568.50,16243.50
762,336,2.29,684,750831.02,1566.36
